價層電子對相斥 (VSEPR) 學說的基本原理是什麼？,中心原子的最外層電子對均帶負電荷，會互相排斥並盡量彼此遠離以減低排斥力。
$PCl_{5}$ 屬於哪種非八隅體結構？,具有多於 8 個最外層電子的非八隅體結構。
六氟化硫 ($SF_{6}$) 中，中心原子硫 ($S$) 的最外層有多少個電子？,12 個
在 $BeCl_{2}$ 分子中，鈹 ($Be$) 原子有多少個最外層電子？,4 個
在 $IF_{3}$ 分子中，碘 ($I$) 原子有多少個最外層電子？,10 個
判定分子形狀時，「電子對排列方式」與「分子形狀」有何區別？,電子對排列考慮所有電子對（BP+LP），而分子形狀只描述原子在空間的佔據位置。
水分子 ($H_{2}O$) 的電子對排列方式是什麼？,四面體方式
氨分子 ($NH_{3}$) 的電子對排列方式是什麼？,四面體方式
為什麼 $BeCl_{2}$ 分子的形狀是線形的？,因為鈹原子周圍有 2 對鍵合電子，互相排斥並盡量彼此遠離至兩端。
二氧化碳 ($CO_{2}$) 分子的立體結構為何？,線形
甲醛 ($HCHO$) 的中心碳原子周圍被視為有幾對電子？,3 對（包括 2 個單鍵和 1 個視作一對處理的雙鍵）。
三氯化硼 ($BCl_{3}$) 的分子形狀是什麼？,平面三角形
氰化氫 ($HCN$) 分子中，碳與氮之間的鍵結類型為何？,三鍵
$HCN$ 的分子形狀是什麼？,線形
甲烷 ($CH_{4}$) 中心原子周圍的電子對類型及數量為何？,4 對鍵合電子對 (BP)，0 對孤電子對 (LP)。
甲烷 ($CH_{4}$) 的分子形狀是否為平面？,不是，它是立體的四面體形。
在 $NH_{3}$ 中，氮原子周圍有多少對孤電子 (LP)？,1 對
磷 ($P$) 原子的電子排佈是什麼？,"2, 8, 5"
硫 ($S$) 原子的電子排佈是什麼？,"2, 8, 6"
硼 ($B$) 原子的電子排佈是什麼？,"2, 3"
氧 ($O$) 原子的電子排佈是什麼？,"2, 6"
在預測形狀時，$HCHO$ 的中心碳原子被視為有 _____ 對電子，因此呈平面三角形。,3
在 $PCl_{5}$ 分子中，磷原子與五個氯原子形成何種化學鍵？,共價單鍵
判定 $H_{2}O$ 形狀的應試步驟中，算得中心原子剩餘未鍵合電子數是多少？,4 個電子 (即 2 對 LP)。
$BeCl_{2}$ 分子中，所有原子是否都符合八隅體規則？,不符合，鈹原子只有 4 個最外層電子。
$SF_{6}$ 分子中，硫原子共有 _____ 個最外層電子。,12
為什麼分子的形狀與電子對的排列方式有關？,因為電子帶負電荷會互相排斥，排列方式決定了原子在空間的分佈。
在 $NH_{3}BF_{3}$ 的生成過程中，$BF_{3}$ 的硼原子達致了什麼結構？,穩定的八隅體結構。
$NCl_{3}$ 分子是否具有非八隅體結構？,否（所有原子均符合八隅體規則）。
$Cl_{2}O$ 分子是否具有非八隅體結構？,否（所有原子均符合八隅體規則）。
三氟化硼分子中，三個氟原子位於什麼形狀的角位？,等邊三角形
在 $VSEPR$ 理論中，為何要把電子對排列得盡量彼此遠離？,為了減低電子對之間的相互排斥力。
若一個分子的中心原子有 2 對 BP 和 0 對 LP，該分子的鍵角在 DSE 課程中雖不要求數值，但其形狀描述為 _____。,線形
